A,B,C,D
1.0,34.0,18.15000000178814,628.050000000298
2.0,6.0,22.03000000074506,124.12000000059605
3.0,2.0,26.07000000357628,51.99999999955296
4.0,10.0,30.03000000074506,196.05999999821185
5.0,34.0,34.189999993443486,628.1300000059605
6.0,3.0,38.08999999940395,70.07000000357628
7.0,16.0,42.09999999731779,304.16999999761583
8.0,3.0,46.05999999821186,70.23
9.0,30.0,50.35000000476837,555.9899999997765
10.0,16.0,54.18000000298023,304.23
11.0,8.0,58.12000000059604,160.35999999523162
12.0,4.0,62.030000000745055,88.32999999403954
13.0,30.0,66.0999999973178,556.0300000007451
14.0,14.0,70.12000000059605,268.21000000417234
15.0,5.0,73.98999999977649,105.98999999977649
16.0,26.0,78.21000000417233,483.98
17.0,38.0,82.16999999761582,700.1500000017882
18.0,4.0,86.18000000298024,88.18000000298024
19.0,0.0,90.12000000059605,16.050000000298024
20.0,29.0,94.0999999973178,538.3200000035763
21.0,39.0,98.18000000298024,718.2699999916554
22.0,10.0,101.98999999977649,196.1699999976158
23.0,27.0,106.25000001072884,502.1300000059605
24.0,38.0,110.32999999403954,700.310000013113
25.0,27.0,114.13000000596047,502.10999999523165
26.0,10.0,118.23999999046326,195.98
27.0,18.0,121.98999999977649,340.32999999403955
28.0,12.0,126.08999999940396,232.310000013113
29.0,6.0,130.32999999403953,124.03000000074506
30.0,19.0,134.310000013113,358.0700000035763
31.0,33.0,138.21000000417231,610.1999999988079
32.0,17.0,142.1399999964237,322.00999999932947
33.0,0.0,146.32999999403953,16.169999997615815
34.0,3.0,150.3400000143051,70.13000000596047
35.0,16.0,154.10999999523162,304.10999999523165
36.0,36.0,158.05999999821185,664.2100000041723
37.0,8.0,161.99999999955295,160.28000001192092
38.0,0.0,166.28000001192092,16.219999994635582
39.0,26.0,170.13000000596045,484.05000000029804
40.0,27.0,174.00999999932944,502.34000001430513
41.0,35.0,178.3400000143051,646.3400000143051
42.0,25.0,182.00999999932944,466.0300000007451
43.0,29.0,186.10999999523162,538.3699999856949
44.0,0.0,190.23999999046325,16.18999999344349
45.0,17.0,194.1699999976158,322.0599999982119
46.0,39.0,198.050000000298,718.1699999976158
47.0,20.0,202.18000000298022,376.12000000059606
48.0,28.0,206.03999999865889,520.1500000017882
49.0,17.0,210.25000001072883,322.3200000035763
50.0,27.0,214.310000013113,502.0700000035763
51.0,39.0,218.3400000143051,718.2100000041723
52.0,4.0,221.98,88.12000000059605
53.0,12.0,226.32999999403953,232.15000000178813
54.0,19.0,230.23,358.0300000007451
55.0,36.0,234.050000000298,664.089999999404
56.0,23.0,237.98,430.25000001072885
57.0,22.0,241.98999999977647,412.089999999404
58.0,38.0,246.0800000014901,700.0099999993295
59.0,14.0,250.23,268.16999999761583
60.0,1.0,254.13000000596045,33.98
61.0,2.0,258.0599999982119,52.01999999910593
62.0,32.0,262.0700000035763,592.019999999106
63.0,11.0,266.2399999904633,214.26000000119208
64.0,0.0,270.0399999986589,16.32000000357628
65.0,11.0,274.2199999946356,214.09999999731778
66.0,12.0,278.34000001430513,232.03999999865889
67.0,27.0,282.34000001430513,502.3500000047684
68.0,32.0,286.15000000178816,591.98
69.0,7.0,290.2399999904633,142.00999999932944
70.0,36.0,294.12000000059606,664.280000011921
71.0,12.0,297.9899999997765,232.18000000298022
72.0,12.0,302.28000001192095,232.3400000143051
73.0,6.0,306.21000000417234,124.36999998569489
74.0,31.0,310.3699999856949,574.280000011921
75.0,35.0,314.35999999523165,646.0599999982119
76.0,36.0,318.3699999856949,663.98
77.0,17.0,322.0300000007451,322.28000001192095
78.0,39.0,326.29999999284746,718.3500000047684
79.0,28.0,330.35999999523165,520.0599999982119
80.0,6.0,334.2900000023842,124.28000001192093
81.0,6.0,338.1899999934435,124.12000000059605
82.0,12.0,342.3500000047684,232.23999999046325
83.0,10.0,346.25000001072885,196.07000000357627
84.0,27.0,350.15000000178816,502.2399999904633
85.0,8.0,354.01999999910595,160.23
86.0,18.0,358.1899999934435,340.2600000011921
87.0,1.0,362.05000000029804,34.199999998807904
88.0,39.0,366.089999999404,718.1399999964237
89.0,37.0,370.2600000011921,682.0399999986589
90.0,12.0,374.16999999761583,232.32000000357627
91.0,25.0,378.3200000035763,466.2199999946356
92.0,28.0,382.15000000178816,520.1899999934435
93.0,16.0,386.12000000059606,304.089999999404
94.0,34.0,390.05000000029804,628.0800000014901
95.0,21.0,394.0599999982119,394.3500000047684
96.0,12.0,398.12000000059606,232.08999999940394
97.0,29.0,402.0399999986589,538.280000011921
98.0,29.0,406.3699999856949,537.98
99.0,0.0,410.2399999904633,16.18999999344349
100.0,24.0,414.26999999165537,448.35999999523165
