A,B,C,D
1.0,35.0,49.26999999165535,583.2900000023842
2.0,19.0,57.26000000119209,327.16999999761583
3.0,12.0,65.19999999880791,215.21000000417231
4.0,6.0,73.2600000011921,119.23
5.0,23.0,81.05000000029803,391.25000001072885
6.0,22.0,89.36999998569489,375.1899999934435
7.0,28.0,97.08999999940396,471.10999999523165
8.0,23.0,105.13000000596047,391.1999999988079
9.0,7.0,113.19999999880791,135.26000000119208
10.0,2.0,120.98,55.08000000149011
11.0,11.0,129.0800000014901,199.13000000596045
12.0,5.0,137.03000000074505,103.07000000357628
13.0,5.0,145.18000000298022,103.32000000357628
14.0,36.0,153.15000000178813,599.23
15.0,0.0,161.1399999964237,23.15000000178814
16.0,6.0,169.09999999731778,119.03000000074506
17.0,7.0,177.18000000298022,135.310000013113
18.0,4.0,185.1999999988079,87.31000001311303
19.0,18.0,193.26999999165534,311.21000000417234
20.0,24.0,201.18999999344348,407.2199999946356
21.0,12.0,209.32000000357627,215.29000000238418
22.0,21.0,216.98,359.00999999932947
23.0,6.0,224.98,119.23999999046326
24.0,0.0,233.12000000059604,23.340000014305115
25.0,12.0,241.25000001072883,215.00999999932944
26.0,0.0,249.09999999731778,22.989999999776483
27.0,16.0,257.35999999523165,279.0399999986589
28.0,35.0,265.25000001072885,583.2199999946356
29.0,27.0,273.0599999982119,455.0300000007451
30.0,38.0,281.32999999403955,631.3400000143051
31.0,17.0,288.999999999553,295.089999999404
32.0,9.0,297.21000000417234,167.26999999165534
33.0,10.0,305.2600000011921,183.35999999523162
34.0,10.0,313.35999999523165,183.00999999932944
35.0,36.0,321.0599999982119,599.1999999988079
36.0,18.0,329.16999999761583,311.1899999934435
37.0,27.0,337.34000001430513,455.089999999404
38.0,13.0,345.2199999946356,231.36999998569488
39.0,29.0,353.08000000149013,487.16999999761583
40.0,24.0,361.00999999932947,407.0300000007451
41.0,15.0,369.0399999986589,263.1600000071526
42.0,11.0,377.1300000059605,199.23999999046325
43.0,25.0,385.34000001430513,422.9899999997765
44.0,36.0,393.23,599.2600000011921
45.0,29.0,401.15000000178816,487.0599999982119
46.0,28.0,408.9899999997765,471.13999999642374
47.0,19.0,417.25000001072885,327.3200000035763
48.0,4.0,425.2199999946356,87.03000000074506
49.0,33.0,433.32999999403955,551.1999999988079
50.0,30.0,441.21000000417234,503.35999999523165
51.0,9.0,448.98,167.29000000238418
52.0,33.0,457.3500000047684,551.3699999856949
53.0,7.0,465.08000000149013,135.36999998569488
54.0,14.0,472.9899999997765,247.28000001192092
55.0,11.0,481.16999999761583,199.09999999731778
56.0,23.0,489.0300000007451,391.1899999934435
57.0,10.0,497.3200000035763,183.050000000298
58.0,6.0,505.12000000059606,119.34000001430512
59.0,4.0,513.2500000107289,87.03000000074506
60.0,5.0,521.2900000023842,103.05999999821186
61.0,38.0,529.0999999973178,631.089999999404
62.0,8.0,537.1999999988079,151.0800000014901
63.0,39.0,544.999999999553,647.019999999106
64.0,36.0,553.0300000007451,599.0599999982119
65.0,14.0,561.2100000041723,246.98
66.0,1.0,569.0399999986589,39.29999999284744
67.0,16.0,577.1200000005961,279.0300000007451
68.0,19.0,585.2600000011921,327.2399999904633
69.0,27.0,593.310000013113,455.08000000149013
70.0,10.0,601.2999999928475,183.21000000417231
71.0,29.0,609.2600000011921,486.9899999997765
72.0,25.0,617.3400000143051,423.0999999973178
73.0,2.0,625.1899999934435,55.32999999403953
74.0,24.0,633.019999999106,407.34000001430513
75.0,24.0,641.0300000007451,407.2600000011921
76.0,19.0,649.3500000047684,327.2600000011921
77.0,8.0,657.1399999964237,151.26999999165534
78.0,12.0,665.280000011921,215.310000013113
79.0,36.0,673.089999999404,599.3299999940396
80.0,21.0,681.3699999856949,359.1300000059605
81.0,5.0,689.280000011921,103.10999999523163
82.0,6.0,697.1200000005961,119.12000000059605
83.0,1.0,705.3500000047684,39.109999995231625
84.0,38.0,713.3500000047684,631.280000011921
85.0,11.0,721.3599999952316,199.09999999731778
86.0,2.0,729.1200000005961,55.03999999865889
87.0,28.0,737.0399999986589,471.26999999165537
88.0,11.0,745.2100000041723,199.32999999403953
89.0,9.0,753.1999999988079,167.35000000476836
90.0,5.0,761.3400000143051,103.19999999880791
91.0,39.0,769.2699999916554,647.2399999904633
92.0,6.0,777.1600000071526,119.16000000715256
93.0,8.0,785.2999999928475,151.35000000476836
94.0,34.0,793.2699999916554,566.9899999997765
95.0,17.0,801.3599999952316,295.16999999761583
96.0,14.0,809.3500000047684,247.1699999976158
97.0,26.0,817.019999999106,439.25000001072885
98.0,5.0,825.1600000071526,103.35999999523163
99.0,3.0,833.0399999986589,70.99999999955297
100.0,7.0,841.0700000035763,135.09999999731778
